Code,Description
"1","Less Than 500 Miles"
"2","500-999 Miles"
"3","1000-1499 Miles"
"4","1500-1999 Miles"
"5","2000-2499 Miles"
"6","2500-2999 Miles"
"7","3000-3499 Miles"
"8","3500-3999 Miles"
"9","4000-4499 Miles"
"10","4500-4999 Miles"
"11","5000-5499 Miles"
"12","5500-5999 Miles"
"13","6000-6499 Miles"
"14","6500-6999 Miles"
"15","7000-7499 Miles"
"16","7500-7999 Miles"
"17","8000-8499 Miles"
"18","8500-8999 Miles"
"19","9000-9499 Miles"
"20","9500-9999 Miles"
"21","10000-10499 Miles"
"22","10500-10999 Miles"
"23","11000-11499 Miles"
"24","11500-11999 Miles"
"25","12000 Miles and Greater"
